Characteristic,Douglas-fir,Southern pine,Ponderosa pine,Western hemlock,All eastern hard-woods,"Oak, white, red ad black","Maple, sugar"
2015,-,-,-,69.04,238.1,308.72,521.51
2014,-,-,-,60.2,144.89,211.82,548.71
2013,-,-,-,58.2,108.27,216.81,447.78
2012,-,-,-,88.7,94.1,389.2,491.7
2011,-,-,-,83.3,105.0,105.5,504.3
2010,-,-,-,65.9,130.59,214.32,432.5
2009,-,-,-,24.0,171.43,119.53,275.0
2008,-,152.65,33.52,19.7,198.25,156.27,479.6
2007,-,176.38,60.9,26.3,276.62,220.35,361.6
2006,-,112.46,39.17,101.1,275.31,180.26,533.3
2005,320.5,192.82,103.34,70.1,415.09,329.21,648.0
2004,114,182.99,65.39,63.2,427.22,291.21,618.0
