Characteristic,Share of respondents
I have been cyber bullied,17.4%
Mean or hurtful comments online,24.9%
Rumors online,22.2%
Threatened to hurt me through a cell phone text,12.2%
Posted mean names or comments online about me with a sexual meaning,12%
Threatened to hurt me online,11.7%
Posted a mean or hurtful picture online of me,10.8%
Pretended to be me online,10.1%
Posted mean names or comments about my race or color,9.5%
Posted a mean or hurtful video online of me,7.1%
Posten mean names or comments online about my religion,6.7%
Created a mean or hurtful web page about me,6.4%
"One or more of above, two or more times",30.1%
