Characteristic,Male,Female
"Documentaries / docu-series (e.g., The Real World, Keeping up with the Kardashians, The Hills, etc.)",18%,26%
"Competition / elimination (e.g., Dancing with the Stars, America's Got Talent, etc.)",20%,34%
"Makeover / renovation (e.g., Extreme Makeover, What Not to Wear, etc.)",10%,24%
"Dating (e.g., The Bachelor / Bachelorette, etc.)",8%,11%
"Hidden camera / amateur content (e.g., Impractical Jokers, America's Funniest Home Videos, etc.)",17%,17%
"Supernatural (e.g., Ghost Hunters, Paranormal State, etc.)",17%,18%
"Travel / aspirational (e.g., Lifestyles of the Rich and Famous, MTV Cribs, etc.)",14%,13%
"Cooking (e.g., MasterChef, Chopped, etc.)",29%,41%
Other,16%,18%
Don't know,3%,2%
Not applicable - I do not typically watch reality TV,34%,20%
